# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466374.bam" "SRR24466375.bam" "SRR24466376.bam" "SRR24466389.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466374.bam	SRR24466375.bam	SRR24466376.bam	SRR24466389.bam	SRR24466391.bam
YDL246C	IV	8683	9756	-	1074	6	4	0	0	2
YDL243C	IV	17577	18566	-	990	178	357	274	747	365
YDR387C	IV	1248154	1249821	-	1668	1536	2271	1802	3266	1944
YDL094C	IV	289572	290081	-	510	12	13	13	31	26
YDR438W	IV	1338274	1339386	+	1113	499	946	681	1162	773
YDR523C	IV	1485566	1487038	-	1473	79	37	42	138	52
YDR542W	IV	1523249	1523611	+	363	8	6	1	13	0
YDR492W	IV	1434924	1435874	+	951	898	1148	1091	1840	1014
YDR018C	IV	482670	483860	-	1191	102	138	56	286	136
YDL189W	IV	122216	123589	+	1374	1774	2766	2093	4222	2477
YDR508C	IV	1466453	1468444	-	1992	11283	8076	6787	25884	12536
YDR462W	IV	1386073	1386516	+	444	491	477	348	2256	969
YDR175C	IV	813193	814152	-	960	720	1037	744	3411	1710
YDR186C	IV	832859	835492	-	2634	2378	3095	2787	6287	3164
YDR150W	IV	755628	763874	+	8247	3949	6195	3667	7447	3486
YDR243C	IV	948518	950284	-	1767	184	284	235	626	307
YDL182W	IV	133437	134723	+	1287	2878	5338	10648	9792	13455
YDR362C	IV	1196679	1198697	-	2019	986	1492	1160	2651	1366
YDR232W	IV	927452	929098	+	1647	1346	2568	2144	5773	2478
YDR158W	IV	770357	771454	+	1098	24196	27329	30449	76723	39883
YDR439W	IV	1339676	1340719	+	1044	446	811	567	1349	931
YDL206W	IV	90176	92464	+	2289	1786	2258	1480	2867	1932
YDR125C	IV	701397	702758	-	1362	221	327	257	806	401
